City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
177,Santa Marta,CO,11.2408,-74.199,85.71,70,13,8.19,few clouds
178,Northam,GB,51.0333,-4.2167,68.4,71,6,11.34,clear sky
179,Staunton,US,38.1496,-79.0717,84.16,75,100,1.99,overcast clouds
180,Aklavik,CA,68.2191,-135.0107,79.54,38,41,6.98,scattered clouds
181,Anaconda,US,46.1285,-112.9423,75.31,42,2,2.93,clear sky
182,Kavieng,PG,-2.5744,150.7967,80.35,81,100,12.35,moderate rain
183,Mehamn,NO,71.0357,27.8492,57.15,77,40,11.5,scattered clouds
184,Ixtapa,MX,20.7,-105.2,88.23,64,17,3.0,few clouds
185,Sretensk,RU,52.2453,117.7093,59.58,78,95,5.01,overcast clouds
186,Lubango,AO,-14.9172,13.4925,62.53,32,5,4.52,clear sky
187,Cidreira,BR,-30.1811,-50.2056,66.76,73,100,6.49,moderate rain
188,Camacha,PT,33.0833,-16.3333,71.02,60,40,16.11,scattered clouds
189,Nemuro,JP,43.3236,145.575,56.82,97,100,7.16,overcast clouds
190,Bayeux,BR,-7.125,-34.9322,78.66,84,92,16.46,overcast clouds
191,Yelovo,RU,57.0538,54.9207,64.15,81,0,4.81,clear sky
192,Raudeberg,NO,61.9875,5.1352,52.47,85,82,11.27,broken clouds
193,Aloleng,PH,16.1307,119.7824,78.28,88,100,2.46,overcast clouds
194,Newport,GB,51.5877,-2.9984,77.38,66,6,3.24,clear sky
195,Ilulissat,GL,69.2167,-51.1,44.62,81,75,3.44,broken clouds
196,Lewistown,US,40.5992,-77.5714,82.0,71,100,1.66,overcast clouds
197,San Andres,CO,12.5847,-81.7006,80.62,83,40,9.22,scattered clouds
198,San Patricio,US,28.017,-97.5169,93.29,38,0,12.01,clear sky
199,Santa Cruz Cabralia,BR,-16.2781,-39.0247,76.46,68,74,4.7,broken clouds
200,Vestmannaeyjar,IS,63.4427,-20.2734,50.99,87,75,26.46,drizzle
201,Hami,CN,42.8,93.45,84.97,15,99,20.92,overcast clouds
202,Santo Antonio Do Ica,BR,-3.1022,-67.9397,83.3,76,34,3.42,scattered clouds
203,Saint-Philippe,RE,-21.3585,55.7679,71.19,72,91,15.28,overcast clouds
204,Hearst,CA,49.6835,-83.6665,56.07,87,97,3.24,overcast clouds
205,Ancud,CL,-41.8697,-73.8203,47.23,86,100,16.13,light rain
206,Okha,RU,53.5739,142.9478,63.12,86,67,12.82,broken clouds
207,Gornopravdinsk,RU,60.05,69.9,61.0,70,4,1.03,clear sky
208,San Vicente,AR,-26.6167,-54.1333,75.4,42,92,5.39,overcast clouds
209,Linjiang,CN,41.8069,126.9078,71.11,99,100,1.34,overcast clouds
210,Maba,CN,24.6841,113.5984,76.5,96,100,2.28,light rain
211,Naze,JP,28.3667,129.4833,77.38,90,100,6.24,overcast clouds
212,Pevek,RU,69.7008,170.3133,37.31,83,88,3.74,overcast clouds
213,Varkaus,FI,62.3153,27.873,63.3,81,99,8.9,overcast clouds
214,Kargopol,RU,61.5071,38.9456,63.01,96,90,4.03,overcast clouds
215,Jamestown,US,42.097,-79.2353,81.05,52,55,4.0,broken clouds
216,Tandur,IN,17.2333,77.5833,74.16,94,100,14.41,light rain
217,Ponta Do Sol,PT,32.6667,-17.1,77.72,66,2,1.05,clear sky
218,Lebu,CL,-37.6167,-73.65,50.68,69,50,5.46,scattered clouds
219,Galdar,ES,28.147,-15.6502,76.35,74,33,16.13,scattered clouds
220,Broken Hill,AU,-31.95,141.4333,42.35,83,0,11.5,clear sky
221,Blackwater,AU,-23.5833,148.8833,55.47,76,0,6.76,clear sky
222,Ngunguru,NZ,-35.6167,174.5,60.67,93,100,21.65,light rain
223,Huntsville,US,34.7304,-86.5861,93.54,68,0,10.36,clear sky
224,Dzhebariki-Khaya,RU,62.2167,135.8,67.21,92,95,6.55,overcast clouds
225,Port Lincoln,AU,-34.7333,135.8667,54.79,70,100,10.98,overcast clouds
226,Pisco,PE,-13.7,-76.2167,61.02,89,36,9.8,scattered clouds
227,Bowen,AU,-20.0167,148.2333,57.38,75,0,6.02,clear sky
228,Belomorsk,RU,64.5232,34.7668,66.45,61,98,8.08,light rain
229,Lukovetskiy,RU,64.2956,41.9211,57.27,97,100,5.97,overcast clouds
230,Faanui,PF,-16.4833,-151.75,78.19,73,14,7.25,few clouds
231,Mangan,IN,27.5167,88.5333,78.51,97,92,1.19,overcast clouds
232,Ajaccio,FR,42.0,8.9167,78.85,57,0,11.5,clear sky
233,Bilma,NE,18.6853,12.9164,103.32,9,3,7.16,clear sky
234,Pitlochry,GB,56.7051,-3.7343,72.46,67,36,12.95,scattered clouds
235,Kaitangata,NZ,-46.2817,169.8464,46.35,89,100,17.69,overcast clouds
236,Voiron,FR,45.3639,5.5921,82.58,42,2,5.99,clear sky
237,Abu Samrah,SY,35.3029,37.1841,85.14,29,1,14.76,clear sky
238,Wanning,CN,18.8003,110.3967,81.07,90,100,3.51,overcast clouds
239,Flin Flon,CA,54.7682,-101.865,76.62,30,3,3.18,clear sky
240,Santiago,CL,-33.4569,-70.6483,64.99,59,0,1.14,mist
241,Yeppoon,AU,-23.1333,150.7333,49.78,86,0,5.55,clear sky
242,Tori Fatehpur,IN,25.45,79.1333,95.34,44,65,10.07,broken clouds
243,Vila Do Maio,CV,15.1333,-23.2167,74.77,83,27,16.24,scattered clouds
244,Japura,ID,-0.3167,102.35,75.06,97,43,0.74,light rain
245,Mount Isa,AU,-20.7333,139.5,53.37,66,0,11.5,clear sky
246,Jaora,IN,23.6333,75.1333,78.15,88,97,18.19,moderate rain
247,Taksimo,RU,56.3444,114.8794,53.24,84,100,3.11,overcast clouds
248,Hit,IQ,33.6416,42.8251,99.91,12,0,11.5,clear sky
249,Kieta,PG,-6.2167,155.6333,77.94,86,100,5.77,light rain
250,Kem,RU,64.9555,34.5793,59.56,74,100,6.44,overcast clouds
251,Dauriya,RU,49.9333,116.8667,59.67,89,98,8.3,overcast clouds
252,Kruisfontein,ZA,-34.0033,24.7314,52.88,88,96,3.6,overcast clouds
253,Ahipara,NZ,-35.1667,173.1667,62.51,96,100,20.0,light rain
254,Souillac,MU,-20.5167,57.5167,69.98,66,55,17.6,broken clouds
255,Sao Filipe,CV,14.8961,-24.4956,76.28,74,16,12.55,few clouds
256,Poso,ID,-1.3959,120.7524,76.73,87,100,5.32,moderate rain
257,Kodiak,US,57.79,-152.4072,51.51,98,100,9.15,light rain
258,Kavaratti,IN,10.5669,72.642,81.28,82,100,17.36,heavy intensity rain
259,Ust-Karsk,RU,52.7011,118.8077,57.67,89,84,4.0,broken clouds
260,Mandera,KE,3.9366,41.867,82.47,48,96,17.72,overcast clouds
261,Oshawa,CA,43.9001,-78.8496,79.9,60,0,6.91,clear sky
262,Yibin,CN,28.7667,104.6238,80.29,78,0,2.17,clear sky
263,Birjand,IR,32.8663,59.2211,76.98,21,0,7.94,clear sky
264,Kualakapuas,ID,-3.0091,114.3876,73.29,96,100,2.86,overcast clouds
265,Nikolskoye,RU,59.7035,30.7861,68.88,58,79,4.68,broken clouds
266,Uvat,RU,59.1433,68.8953,60.66,72,44,2.17,scattered clouds
267,Kharp,RU,66.8014,65.8081,67.35,80,100,4.97,overcast clouds
268,Bhainsdehi,IN,21.6467,77.6325,74.05,90,100,9.44,overcast clouds
269,Aykhal,RU,66.0,111.5,50.27,75,39,6.38,scattered clouds
270,Ewa Beach,US,21.3156,-158.0072,73.35,88,100,4.61,light rain
271,Soyo,AO,-6.1349,12.3689,72.23,78,84,8.41,broken clouds
272,Gladstone,AU,-23.85,151.25,55.33,82,0,4.61,clear sky
273,Tashtyp,RU,52.7939,89.8983,56.52,88,79,2.8,broken clouds
274,Stornoway,GB,58.2093,-6.3865,58.96,89,75,19.57,light intensity drizzle
275,Fare,PF,-16.7,-151.0167,78.15,71,1,8.99,clear sky
276,Emerald,AU,-23.5333,148.1667,58.8,73,72,3.11,broken clouds
277,Ust-Tsilma,RU,65.441,52.1498,72.48,47,88,1.63,overcast clouds
278,Kropotkin,RU,45.4375,40.5756,75.54,38,0,8.66,clear sky
279,Cottonwood,US,34.7392,-112.0099,93.06,14,0,1.99,clear sky
280,Lavrentiya,RU,65.5833,-171.0,47.55,84,100,6.73,overcast clouds
281,Labuhan,ID,-6.8844,112.2051,75.45,85,2,7.05,clear sky
282,Tucurui,BR,-3.7661,-49.6725,87.85,53,18,4.05,few clouds
283,Buraydah,SA,26.326,43.975,96.01,11,42,9.69,scattered clouds
284,Houma,US,29.5958,-90.7195,93.99,70,11,2.51,light rain
285,Tura,IN,25.5198,90.2201,76.78,88,26,3.98,scattered clouds
286,Ust-Kuyga,RU,70.0167,135.6,53.11,62,97,8.5,overcast clouds
287,Chatham,GB,51.3789,0.5279,79.25,44,24,5.99,few clouds
288,Murray Bridge,AU,-35.1167,139.2667,52.12,84,86,9.4,overcast clouds
289,Merrill,US,45.1805,-89.6835,80.37,69,75,3.44,broken clouds
290,Constantine,DZ,36.365,6.6147,85.41,48,40,13.8,scattered clouds
291,Malpe,IN,13.35,74.7167,76.3,90,100,12.95,light rain
292,Ambon,ID,-3.6954,128.1814,75.34,94,40,6.91,scattered clouds
293,Saint George,US,37.1041,-113.5841,90.63,13,0,5.01,clear sky
294,Port Hardy,CA,50.6996,-127.4199,59.18,88,100,2.3,light intensity shower rain
295,Juneau,US,58.3019,-134.4197,62.6,93,75,0.0,broken clouds
296,Chuy,UY,-33.6971,-53.4616,60.19,50,0,10.89,clear sky
297,Iqaluit,CA,63.7506,-68.5145,40.73,86,75,5.75,broken clouds
298,Comodoro Rivadavia,AR,-45.8667,-67.5,41.56,50,6,5.5,clear sky
299,Chicama,PE,-7.8447,-79.1469,70.92,61,32,8.23,scattered clouds
300,Bubaque,GW,11.2833,-15.8333,80.64,83,66,11.39,light rain
301,Longyan,CN,25.1072,117.0225,73.51,98,10,2.1,clear sky
302,Palamos,ES,41.8484,3.1291,88.0,58,0,5.01,clear sky
303,Grand Gaube,MU,-20.0064,57.6608,68.38,72,31,1.99,scattered clouds
304,Sassandra,CI,4.95,-6.0833,77.9,81,94,9.64,overcast clouds
305,Butia,BR,-30.1197,-51.9622,70.45,67,98,4.36,light rain
306,Almaznyy,RU,48.0448,40.045,76.03,32,0,9.57,clear sky
307,Port Augusta,AU,-32.5,137.7667,51.71,68,76,9.31,broken clouds
308,Cap Malheureux,MU,-19.9842,57.6142,68.47,72,26,3.0,scattered clouds
309,Nome,US,64.5011,-165.4064,56.16,94,100,3.44,light rain
310,Peleduy,RU,59.6289,112.7406,58.46,71,80,1.83,broken clouds
311,Port Hedland,AU,-20.3167,118.5667,53.65,58,0,8.05,clear sky
