City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
441,San Cristobal,VE,82.58,scattered clouds,7.7669,-72.225,Pirineos
442,Yambio,SS,75.11,broken clouds,4.5721,28.3955,Naivasha Hotel
443,Kulhudhuffushi,MV,81.64,light rain,6.6221,73.07,Haajy Guest House 1
444,Bandarbeyla,SO,75.99,few clouds,9.4942,50.8122,JABIR HOTEL
445,Anito,PH,76.86,overcast clouds,12.4497,125.2886,El Felix Cottages
446,Igboho,NG,81.27,overcast clouds,8.8333,3.75,More Hotet LTD
450,Aguas Formosas,BR,83.89,clear sky,-17.0822,-40.9358,HOTEL HAVAY PALACE
457,Roma,US,79.95,scattered clouds,43.2128,-75.4557,Wingate By Wyndham Rome
459,Marsh Harbour,BS,82.74,broken clouds,26.5412,-77.0636,Abaco Beach Resort
464,Sibenik,HR,85.66,few clouds,43.7272,15.9058,Hotel Jadran
465,Natal,BR,83.05,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
466,Thompson,CA,78.03,clear sky,55.7435,-97.8558,Burntwood Hotel
467,Sao Joao Da Barra,BR,82.49,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
468,Rapid Valley,US,80.76,clear sky,44.0625,-103.1463,Fairfield Inn & Suites by Marriott Rapid City
469,Barra,BR,85.1,clear sky,-11.0894,-43.1417,Pousada Bahia
472,Elko,US,84.74,clear sky,41.0002,-115.5012,
475,Bonoua,CI,82.02,overcast clouds,5.2741,-3.595,Hotel Bon Samaritian
478,Erzin,TR,76.42,few clouds,36.9559,36.2,Artemis Otel
481,Shahr-E Kord,IR,81.52,broken clouds,32.3256,50.8644,Shahrekord Tourist Hotel
483,Kismayo,SO,76.41,scattered clouds,-0.3582,42.5454,Agan-Hotel
484,Tecoanapa,MX,87.82,overcast clouds,16.5167,-98.75,Hotel Manglares
487,Pemangkat,ID,80.11,broken clouds,1.1667,108.9667,Ramah Kost KITA
489,Axim,GH,78.13,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
490,Bathsheba,BB,88.41,few clouds,13.2167,-59.5167,Atlantis Hotel
493,Salvador,SV,82.44,scattered clouds,13.8333,-88.9167,Chico's Ranch
495,Sola,VU,80.67,overcast clouds,-13.8833,167.55,Leumerus Bungalows
496,Laguna,US,75.34,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
498,Makarska,HR,88.39,scattered clouds,43.2969,17.0178,Hotel Park Makarska
502,Bay City,US,77.32,clear sky,43.5945,-83.8889,DoubleTree by Hilton Hotel Bay City - Riverfront
505,Nukus,UZ,75.18,clear sky,42.4531,59.6103,Hotel Jipek Joli
509,Tual,ID,78.78,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
512,Baculin,PH,77.14,light rain,7.4525,126.5842,Baculin Cove Beach Resort
513,Hereclean,RO,75.79,overcast clouds,47.25,23.0167,Hotel Transilvania
515,Muros,ES,83.08,clear sky,42.7762,-9.0603,Apartment Av. Castelao
518,Yuxia,CN,84.36,clear sky,34.0615,108.6291,Shanchengxuan Hotel
519,Zhangye,CN,76.46,clear sky,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
520,Lodwar,KE,87.66,broken clouds,3.1191,35.5973,Solmar Gracious Hotel
521,Amarillo,US,83.98,clear sky,35.222,-101.8313,Microtel Inn & Suites by Wyndham Amarillo
522,Palmer,US,82.44,scattered clouds,42.1584,-72.3287,Wedgewood Motel
523,Lumut,MY,80.11,scattered clouds,4.2323,100.6298,"Marina Island Pangkor Resort & Hotel (Suites, Function Rooms and Convention Hall)"
526,Kirakira,SB,78.98,overcast clouds,-10.4544,161.9205,SanBiz Lodge
529,Micheweni,TZ,75.27,few clouds,-4.9667,39.8333,
530,Lethem,GY,86.77,scattered clouds,3.3803,-59.7968,Savannah Inn
535,Rabak,SD,80.74,overcast clouds,13.1809,32.74,فندق ربك Rabak Hotel
536,Kumluca,TR,83.8,clear sky,36.3703,30.2869,Akkol Apart
537,Muroto,JP,77.81,overcast clouds,33.2833,134.15,Oota Ryokan
538,Yinchuan,CN,88.43,clear sky,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
540,Marzuq,YE,85.14,overcast clouds,14.4,46.4667,
541,Grants,US,77.23,clear sky,35.1473,-107.8514,"Motel 6 Grants, NM"
545,Sakaiminato,JP,76.41,overcast clouds,35.55,133.2333,Italian pasley
546,Hibbing,US,76.57,scattered clouds,47.4272,-92.9377,Mitchell-Tappan House - Carriage House Rentals
547,Kota Belud,MY,78.1,overcast clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
550,Bastia,FR,87.6,few clouds,42.6667,9.3333,Hotel Santa Maria
551,Basco,PH,84.33,light rain,20.4487,121.9702,Nathaniel's Lodge
553,Sao Joao Do Paraiso,BR,80.53,few clouds,-15.3136,-42.0144,Avenida Palace Hotel
557,Naliya,IN,80.67,overcast clouds,23.2667,68.8333,jadeja jayendrasinh
560,Sinnamary,GF,84.61,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
561,Dingle,PH,76.5,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
564,Korla,CN,84.99,scattered clouds,41.7597,86.1469,Gulisitan Hotel
568,Westport,US,82.45,broken clouds,41.1415,-73.3579,The Westport Inn
573,Bosaso,SO,89.49,few clouds,11.2842,49.1816,Red Sea Hotel
